Date,Open,High,Low,Close,Adj Close,Volume
2023-12-21,240.64999389648438,242.64999389648438,239.05999755859375,241.88999938964844,241.88999938964844,1024300
2023-12-22,243.74000549316406,244.02999877929688,240.30999755859375,242.75999450683594,242.75999450683594,719400
2023-12-26,242.49000549316406,245.36000061035156,241.9600067138672,245.07000732421875,245.07000732421875,595000
2023-12-27,245.36000061035156,245.8800048828125,244.3800048828125,245.11000061035156,245.11000061035156,771900
2023-12-28,245.6300048828125,245.85000610351562,244.02000427246094,244.91000366210938,244.91000366210938,537200
2023-12-29,243.72000122070312,245.39999389648438,242.7899932861328,243.47999572753906,243.47999572753906,721400
2024-01-02,240.7899932861328,241.1999969482422,232.22000122070312,234.1199951171875,234.1199951171875,1443500
2024-01-03,231.7100067138672,231.7100067138672,227.0399932861328,227.19000244140625,227.19000244140625,1278800
2024-01-04,227.19000244140625,229.57000732421875,225.4499969482422,228.9199981689453,228.9199981689453,1552800
2024-01-05,228.77000427246094,231.86000061035156,228.41000366210938,229.52000427246094,229.52000427246094,1138100
2024-01-08,231.0,235.9499969482422,230.77999877929688,235.4499969482422,235.4499969482422,1447500
2024-01-09,233.5,236.67999267578125,232.6300048828125,235.9600067138672,235.9600067138672,878500
2024-01-10,236.19000244140625,239.17999267578125,235.77000427246094,238.82000732421875,238.82000732421875,964900
2024-01-11,239.52999877929688,241.02000427246094,237.33999633789062,240.64999389648438,240.64999389648438,1035400
2024-01-12,242.47000122070312,243.33999633789062,239.8300018310547,242.44000244140625,242.44000244140625,1012600
2024-01-16,240.27999877929688,242.67999267578125,240.1300048828125,241.5,241.5,1364800
2024-01-17,239.66000366210938,240.44000244140625,235.9600067138672,238.47000122070312,238.47000122070312,1330400
2024-01-18,238.35000610351562,241.94000244140625,237.85000610351562,241.17999267578125,241.17999267578125,1042600
2024-01-19,242.3699951171875,249.0500030517578,241.72999572753906,248.63999938964844,248.63999938964844,1205600
2024-01-22,250.0,252.80999755859375,249.80999755859375,250.7899932861328,250.7899932861328,1441000
2024-01-23,251.17999267578125,253.24000549316406,249.30999755859375,252.77999877929688,252.77999877929688,1030000
2024-01-24,255.0,256.4800109863281,252.5,252.66000366210938,252.66000366210938,1174500
2024-01-25,255.6199951171875,255.8000030517578,250.52999877929688,251.75,251.75,1116100
2024-01-26,252.39999389648438,254.2899932861328,250.86000061035156,253.07000732421875,253.07000732421875,940200
2024-01-29,253.0500030517578,257.6300048828125,252.69000244140625,257.2300109863281,257.2300109863281,937300
2024-01-30,255.6300048828125,257.55999755859375,255.0399932861328,256.4700012207031,256.4700012207031,1204400
2024-01-31,255.02000427246094,256.92999267578125,251.72999572753906,253.80999755859375,253.80999755859375,2017200
2024-02-01,253.47999572753906,255.77000427246094,251.3699951171875,255.07000732421875,255.07000732421875,1214100
2024-02-02,254.5,259.25,254.0500030517578,256.45001220703125,256.45001220703125,1592900
2024-02-05,255.83999633789062,256.4200134277344,251.74000549316406,252.80999755859375,252.80999755859375,1336000
2024-02-06,254.07000732421875,254.91000366210938,252.6999969482422,253.97999572753906,253.97999572753906,865200
2024-02-07,256.80999755859375,261.0,255.19000244140625,258.42999267578125,258.42999267578125,1125200
2024-02-08,258.0799865722656,262.9200134277344,258.0199890136719,261.510009765625,261.510009765625,771100
2024-02-09,262.8500061035156,269.5299987792969,262.8500061035156,266.67999267578125,266.67999267578125,1828600
2024-02-12,265.9100036621094,267.30999755859375,261.510009765625,262.0400085449219,262.0400085449219,1055300
2024-02-13,254.13999938964844,258.7300109863281,252.75,256.760009765625,256.760009765625,1341600
2024-02-14,259.4100036621094,263.0299987792969,259.1300048828125,262.1700134277344,262.1700134277344,925500
2024-02-15,264.739990234375,264.94000244140625,259.5899963378906,261.25,261.25,724500
2024-02-16,261.0,261.44000244140625,257.20001220703125,258.29998779296875,258.29998779296875,1369400
2024-02-20,256.3299865722656,256.70001220703125,251.66000366210938,255.25999450683594,255.25999450683594,1277500
2024-02-21,252.0,252.67999267578125,249.1300048828125,252.52000427246094,252.52000427246094,742300
2024-02-22,258.6499938964844,260.3299865722656,255.77000427246094,256.9800109863281,256.9800109863281,1077900
2024-02-23,259.25,260.0,256.8500061035156,257.20001220703125,257.20001220703125,819400
2024-02-26,257.8399963378906,259.1400146484375,256.1400146484375,257.3500061035156,257.3500061035156,981500
